county,employment_1990,employment_2015,wages_1990,wages_2015
"McCook County, South Dakota",1358,1336,437.0294,567
"San Saba County, Texas",1468,1558,442.4696,567
"Starr County, Texas",6346,15118,451.5366,567
"Carter County, Kentucky",4198,5683,451.5366,567
"Woodruff County, Arkansas",2275,1812,482.3644,567
"Dickinson County, Kansas",5746,6331,495.0582,567
"Tate County, Mississippi",5725,5358,527.6994,567
"Bradley County, Arkansas",3805,3768,600.2354,567
"Mason County, Texas",796,1055,391.6944,568
"East Carroll Parish, Louisiana",1966,1805,415.2686,568
"Macon County, Missouri",4699,4849,446.0964,568
"Clay County, Kansas",2581,3089,456.9768,568
"Johnson County, Arkansas",5212,8365,496.8716,568
"Banks County, Georgia",2219,3589,413.4552,569
"Bacon County, Georgia",3371,3768,480.551,569
"Chester County, Tennessee",2815,3480,500.4984,569
"Laclede County, Missouri",9855,12806,516.819,569
"Sioux County, Nebraska",182,150,440.6562,570
"Menifee County, Kentucky",522,866,451.5366,570
"Terrell County, Georgia",2883,2404,466.0438,570
"Garfield County, Utah",1145,1759,485.9912,570
"Iron County, Utah",7604,15511,509.5654,570
"Baker County, Florida",4845,7030,531.3262,570
"Colquitt County, Georgia",12142,14230,536.7664,570
"Richardson County, Nebraska",2597,2430,451.5366,571
"Hampshire County, West Virginia",3082,3929,489.618,571
"Echols County, Georgia",250,721,498.685,571
"Valencia County, New Mexico",7710,13415,509.5654,571
"Newton County, Mississippi",6855,5897,509.5654,571
"Van Buren County, Tennessee",1027,788,511.3788,571
"Madison County, North Carolina",3295,3783,522.2592,571
"Coleman County, Texas",2751,2049,538.5798,571
"Oconto County, Wisconsin",7468,8468,551.2736,571
"Screven County, Georgia",4033,3287,562.154,571
"Greene County, Indiana",7120,6378,563.9674,571
"Tallahatchie County, Mississippi",2551,3026,402.5748,572
"Cumberland County, Kentucky",1693,1653,426.149,572
"Phillips County, Arkansas",7812,5649,504.1252,572
"Baxter County, Arkansas",9832,14595,511.3788,572
"Lake of The Woods County, Minnesota",1164,1675,518.6324,572
"Rusk County, Wisconsin",4699,5199,520.4458,572
"George County, Mississippi",2783,4815,464.2304,573
"Turner County, Georgia",1900,2108,469.6706,573
"Pike County, Mississippi",12000,14684,505.9386,573
"Burnett County, Wisconsin",3003,4434,533.1396,573
"Greene County, North Carolina",3118,4054,536.7664,573
"Ouachita County, Arkansas",9118,7081,618.3694,573
"Clay County, West Virginia",1149,1373,645.5704,573
"Greeley County, Kansas",633,689,438.8428,574
"Jackson County, Kentucky",1576,1771,444.283,574
"Sanborn County, South Dakota",559,580,444.283,574
"Choctaw County, Oklahoma",3374,4380,471.484,574
"Clarendon County, South Carolina",6945,6947,476.9242,574
"Antrim County, Michigan",4306,4719,553.087,574
"Wallace County, Kansas",484,498,426.149,575
"Howard County, Nebraska",970,1583,431.5892,575
"Lanier County, Georgia",1115,1346,444.283,575
"Montgomery County, Missouri",2960,2767,462.417,575
"Carteret County, North Carolina",15334,21383,485.9912,575
"Grand County, Utah",2065,4472,493.2448,575
"Lafayette County, Wisconsin",3276,3930,511.3788,575
"Alexander County, North Carolina",9594,8896,573.0344,575
"Lewis County, Idaho",1059,1569,578.4746,575
"Teton County, Idaho",592,2588,373.5604,576
"Wheatland County, Montana",504,553,411.6418,576
"Campbell County, South Dakota",431,451,417.082,576
"Grainger County, Tennessee",2776,3316,444.283,576
"Cimarron County, Oklahoma",747,687,475.1108,576
"Pemiscot County, Missouri",5586,5846,482.3644,576
"Bullock County, Alabama",2963,2919,482.3644,576
"Emanuel County, Georgia",7773,6679,504.1252,576
"Cross County, Arkansas",5457,5004,520.4458,576
"Elbert County, Georgia",6933,5611,525.886,576
"Clarke County, Mississippi",4547,2980,536.7664,576
"Franklin County, Virginia",10587,14027,542.2066,576
"Garden County, Nebraska",755,543,442.4696,577
"Valley County, Nebraska",1526,1726,444.283,577
