county,employment_1990,employment_2015,wages_1990,wages_2015
"Madison County, Kentucky",19768,33918,591.1684,684
"Jefferson County, Iowa",6765,7274,600.2354,684
"Woodford County, Illinois",5985,10598,607.489,684
"Tuscola County, Michigan",11052,11242,632.8766,684
"Hamblen County, Tennessee",27525,29588,634.69,684
"Del Norte County, California",6072,7714,701.7858,684
"Collingsworth County, Texas",820,932,495.0582,685
"Fillmore County, Nebraska",2104,2208,504.1252,685
"Polk County, Minnesota",10231,11979,545.8334,685
"Blaine County, Oklahoma",3092,2977,551.2736,685
"Otter Tail County, Minnesota",15223,21161,556.7138,685
"Nelson County, Kentucky",9095,14439,567.5942,685
"Carroll County, Ohio",5336,6794,569.4076,685
"Richmond County, Virginia",2646,2713,594.7952,685
"Wayne County, Pennsylvania",11953,13800,605.6756,685
"Lee County, Mississippi",40338,50255,629.2498,685
"Montcalm County, Michigan",15606,15043,645.5704,685
"Lee County, Alabama",33483,54476,663.7044,685
"Yukon-Koyukuk Census Area, Alaska",2260,1982,808.7764,685
"Morrill County, Nebraska",1118,1475,482.3644,686
"Hays County, Texas",17835,59544,538.5798,686
"Newberry County, South Carolina",11609,13868,538.5798,686
"Rolette County, North Dakota",3158,4464,547.6468,686
"Warren County, Virginia",7616,11751,549.4602,686
"Beaufort County, North Carolina",18136,15242,582.1014,686
"Fisher County, Texas",1077,849,600.2354,686
"Noble County, Indiana",15652,18437,618.3694,686
"Floyd County, Kentucky",11201,10893,640.1302,686
"Cambria County, Pennsylvania",54951,52679,672.7714,686
"Lucas County, Iowa",2944,3373,683.6518,686
"Wilkin County, Minnesota",1787,1901,505.9386,687
"Sioux County, Iowa",11017,19852,516.819,687
"Johnson County, Wyoming",2041,3044,525.886,687
"Bienville Parish, Louisiana",3696,4230,567.5942,687
"Lynn County, Texas",1254,1293,591.1684,687
"Kandiyohi County, Minnesota",15923,22163,602.0488,687
"Tulare County, California",101213,149197,605.6756,687
"Gallia County, Ohio",9360,10792,634.69,687
"Washington County, Georgia",7652,6649,690.9054,687
"Clark County, Ohio",52430,48156,696.3456,687
"Greenup County, Kentucky",8526,7705,816.03,687
"Phillips County, Colorado",1128,1623,487.8046,688
"Mitchell County, Iowa",2978,3434,489.618,688
"Jefferson Davis Parish, Louisiana",6789,8544,513.1922,688
"Adams County, Washington",4854,6923,518.6324,688
"Otoe County, Nebraska",4684,6045,524.0726,688
"Val Verde County, Texas",9607,16839,544.02,688
"White County, Illinois",4287,4416,547.6468,688
"Sumter County, Georgia",11923,10842,587.5416,688
"Darke County, Ohio",15945,17701,621.9962,688
"Chautauqua County, New York",54587,49005,649.1972,688
"Ouray County, Colorado",560,1551,531.3262,689
"Hamilton County, Iowa",6407,5751,562.154,689
"Ford County, Illinois",4313,4432,565.7808,689
"Oconee County, Georgia",2743,9728,574.8478,689
"Rush County, Indiana",4698,4819,583.9148,689
"Crow Wing County, Minnesota",15341,26812,605.6756,689
"Clarke County, Alabama",8381,8253,612.9292,689
"Greenwood County, South Carolina",28744,28746,640.1302,689
"Fulton County, Ohio",16085,17688,678.2116,689
"Haines Borough, Alaska",742,725,772.5084,689
"Ness County, Kansas",1317,1270,525.886,690
"Bossier Parish, Louisiana",22406,43778,551.2736,690
"Seward County, Nebraska",4982,6085,554.9004,690
"Webster Parish, Louisiana",12010,12087,591.1684,690
"Hall County, Nebraska",23370,34131,596.6086,690
"El Paso County, Texas",202980,286913,598.422,690
"Alpena County, Michigan",10794,11116,651.0106,690
"Towner County, North Dakota",996,692,484.1778,691
"Sullivan County, Pennsylvania",1733,1793,495.0582,691
"Dakota County, Nebraska",11361,12250,496.8716,691
"Grady County, Oklahoma",10394,12914,533.1396,691
"Stephens County, Texas",2808,3370,565.7808,691
"Madison County, Nebraska",16114,21291,576.6612,691
"Smith County, Tennessee",4312,4992,582.1014,691
"Fluvanna County, Virginia",2161,4306,600.2354,691
"Powhatan County, Virginia",3231,6678,614.7426,691
"Cleveland County, North Carolina",36021,33306,652.824,691
"Lawrence County, Indiana",13020,12479,690.9054,691
"Venango County, Pennsylvania",19566,19011,692.7188,691
"Hawkins County, Tennessee",10411,12178,806.963,691
"Kidder County, North Dakota",530,618,411.6418,692
"Benson County, North Dakota",1473,2027,536.7664,692
"Kewaunee County, Wisconsin",5236,6699,571.221,692
"Spalding County, Georgia",18578,21108,585.7282,692
"Volusia County, Florida",123501,159641,587.5416,692
"Shelby County, Kentucky",8849,15423,592.9818,692
"Fannin County, Texas",5851,6964,600.2354,692
"Morgan County, Illinois",14247,14248,602.0488,692
"Christian County, Illinois",9748,10422,651.0106,692
"Allegany County, New York",13922,13767,685.4652,692
"Barnes County, North Dakota",3784,4841,496.8716,693
"Mahaska County, Iowa",6476,7919,522.2592,693
"Jasper County, Illinois",3196,1969,556.7138,693
"Fremont County, Iowa",2517,2676,562.154,693
"Hot Springs County, Wyoming",1828,1969,567.5942,693
"Glenn County, California",7616,8613,603.8622,693
"Columbia County, Arkansas",9170,8291,607.489,693
"Tuscarawas County, Ohio",29450,35807,627.4364,693
"Fayette County, West Virginia",10561,10362,632.8766,693
"Douglas County, Kansas",31877,48098,636.5034,693
"Spotsylvania County, Virginia",11979,33308,647.3838,693
"Crawford County, Pennsylvania",27819,30665,656.4508,693
"Perry County, Kentucky",9793,12012,732.6136,693
"Concho County, Texas",640,850,458.7902,694
"Guthrie County, Iowa",2289,3013,467.8572,694
"Pawnee County, Oklahoma",2988,3401,540.3932,694
"Le Sueur County, Minnesota",6271,8354,560.3406,694
"Jackson County, Arkansas",5677,5214,574.8478,694
"Huntingdon County, Pennsylvania",11705,11948,603.8622,694
"Adams County, Mississippi",12868,10671,609.3024,694
"Whiteside County, Illinois",20673,20181,660.0776,694
"Kittitas County, Washington",9216,13443,525.886,695
"Cape Girardeau County, Missouri",32115,40021,582.1014,695
"Essex County, New York",13421,14321,649.1972,695
"Preble County, Ohio",9169,10189,709.0394,695
"Johnson County, Tennessee",3014,3891,418.8954,696
"LaMoure County, North Dakota",1035,1385,438.8428,696
"Allen Parish, Louisiana",4344,7755,547.6468,696
"Wasco County, Oregon",7106,10279,571.221,696
"McDonough County, Illinois",12077,11259,600.2354,696
"Warren County, Indiana",1699,1811,600.2354,696
"Clearfield County, Pennsylvania",26398,29313,623.8096,696
"Webster County, West Virginia",1809,2007,647.3838,696
"James City County, Virginia",13818,25479,699.9724,696
"Grant County, Kentucky",3418,4798,495.0582,697
"Owen County, Kentucky",1536,1669,524.0726,697
"Chickasaw County, Iowa",4153,4612,536.7664,697
"Clay County, Minnesota",13366,17838,573.0344,697
"Lamb County, Texas",3951,3862,574.8478,697
"Cascade County, Montana",27664,35011,598.422,697
"Haskell County, Kansas",1075,1844,618.3694,697
"Lake County, California",10209,15033,623.8096,697
"St. Lucie County, Florida",48110,70992,640.1302,697
"Chippewa County, Wisconsin",18217,23036,654.6374,697
"Hyde County, South Dakota",478,522,402.5748,698
"Marshall County, South Dakota",1191,1647,433.4026,698
"Teller County, Colorado",1799,6484,485.9912,698
"Jackson County, Minnesota",3064,5610,502.3118,698
"Humboldt County, Iowa",3107,3872,536.7664,698
"Renville County, Minnesota",4850,5573,538.5798,698
"Custer County, Montana",4260,5450,538.5798,698
"Claiborne Parish, Louisiana",4019,3544,551.2736,698
"Caddo County, Oklahoma",6300,7179,553.087,698
"Kleberg County, Texas",9754,12975,562.154,698
"Columbia County, Wisconsin",15134,20307,563.9674,698
"Somerset County, Pennsylvania",23785,24198,582.1014,698
"St. Croix County, Wisconsin",15722,31664,598.422,698
"Walworth County, Wisconsin",27474,38159,620.1828,698
"Kimble County, Texas",1212,1315,458.7902,699
"Shelby County, Iowa",4007,5959,467.8572,699
"Throckmorton County, Texas",490,491,473.2974,699
"Osceola County, Iowa",1878,2267,502.3118,699
"Moultrie County, Illinois",2915,4724,505.9386,699
"Parmer County, Texas",4222,5490,509.5654,699
"Hardeman County, Tennessee",7464,6687,553.087,699
"Wharton County, Texas",13119,15465,567.5942,699
"Escambia County, Alabama",12012,12710,582.1014,699
"Sussex County, Delaware",44681,67873,607.489,699
"Walker County, Texas",17880,23600,647.3838,699
"Monroe County, West Virginia",1696,1877,658.2642,699
"Grant County, West Virginia",4638,3320,801.5228,699
"Ritchie County, West Virginia",2673,3292,435.216,700
"Ringgold County, Iowa",1245,1364,456.9768,700
"Perkins County, Nebraska",844,1142,505.9386,700
"Green Lake County, Wisconsin",6304,5852,531.3262,700
"Geary County, Kansas",11011,13353,540.3932,700
"Glades County, Florida",1013,1431,554.9004,700
"Clinton County, Indiana",10065,10636,603.8622,700
"Montgomery County, New York",18262,17997,607.489,700
"Preston County, West Virginia",6064,7152,612.9292,700
"Sullivan County, Missouri",1915,2372,460.6036,701
"Kittson County, Minnesota",1428,1417,507.752,701
"Davison County, South Dakota",8132,12285,524.0726,701
"Mahoning County, Ohio",102504,95967,660.0776,701
"Humboldt County, California",42717,45825,676.3982,701
"Jasper County, South Carolina",3538,7935,453.35,702
"Golden Valley County, North Dakota",631,713,460.6036,702
"Smith County, Mississippi",4053,2698,545.8334,702
"Monroe County, Mississippi",12463,9530,567.5942,702
"Wilbarger County, Texas",5557,6037,582.1014,702
"Archer County, Texas",1409,1923,596.6086,702
"Ashland County, Ohio",16308,17727,672.7714,702
"Warren County, Pennsylvania",16522,14687,694.5322,702
"Ramsey County, North Dakota",4977,5520,489.618,703
"Haralson County, Georgia",6591,6308,544.02,703
"Buffalo County, Nebraska",15973,26449,573.0344,703
"Cleveland County, Oklahoma",40957,80251,576.6612,703
"Adams County, Pennsylvania",26779,33630,580.288,703
"Beltrami County, Minnesota",11396,18391,609.3024,703
"Bowie County, Texas",34123,40583,651.0106,703
"Greensville County, Virginia",3129,4313,660.0776,703
"Williams County, Ohio",16634,16795,663.7044,703
"Grays Harbor County, Washington",22082,21241,683.6518,703
"Jefferson County, Montana",1981,2406,692.7188,703
"Erie County, Ohio",32958,33380,736.2404,703
"Roger Mills County, Oklahoma",670,796,545.8334,704
"Alamance County, North Carolina",54727,57548,591.1684,704
"Person County, North Carolina",11362,9992,592.9818,704
"Benewah County, Idaho",2641,3310,641.9436,704
"Branch County, Michigan",11882,12496,694.5322,704
"Henry County, Ohio",10025,10510,703.5992,704
"Brooke County, West Virginia",8684,7945,752.561,704
"Aleutian East Borough, Alaska",1307,2762,772.5084,704
"Charles City County, Virginia",779,1561,536.7664,705
"Yazoo County, Mississippi",6279,6333,560.3406,705
"Franklin County, Washington",14928,29744,582.1014,705
"Clay County, Texas",1439,1396,594.7952,705
"Georgetown County, South Carolina",16720,21902,621.9962,705
"Navajo County, Arizona",19556,26114,656.4508,705
"Delta County, Michigan",12103,13049,683.6518,705
"Jefferson County, Ohio",24855,20292,698.159,705
"Daniels County, Montana",589,594,480.551,706
"Caldwell County, Texas",5129,8162,504.1252,706
"Hamilton County, Nebraska",2592,3427,518.6324,706
"Codington County, South Dakota",10084,15585,534.953,706
"Cochran County, Texas",1176,787,553.087,706
"Jackson County, Georgia",8971,21038,580.288,706
"Williamsburg City, Virginia",15187,12438,583.9148,706
"Lagrange County, Indiana",9184,12692,589.355,706
"Emmet County, Michigan",11465,16482,616.556,706
"Mason County, Michigan",7110,9811,670.958,706
"Huron County, Ohio",22712,19021,690.9054,706
"Iron County, Missouri",3104,3910,696.3456,706
"Culberson County, Texas",1332,1153,772.5084,706
"Stewart County, Georgia",1100,1143,467.8572,707
"Beadle County, South Dakota",7412,8284,516.819,707
"Johnston County, North Carolina",24985,44525,549.4602,707
"Boone County, Iowa",7431,9500,569.4076,707
"Freeborn County, Minnesota",12275,11966,603.8622,707
"Benton County, Minnesota",9404,16293,620.1828,707
"Douglas County, Oregon",33067,35388,669.1446,707
"Lewis County, New York",6151,6342,669.1446,707
"Henry County, Missouri",6384,7479,498.685,708
"Riley County, Kansas",19708,28337,565.7808,708
"Clark County, Indiana",34511,50783,629.2498,708
"Jefferson County, Pennsylvania",14293,15461,634.69,708
"Jasper County, Texas",8511,10668,643.757,708
"Coweta County, Georgia",17682,36608,683.6518,708
"Crawford County, Iowa",5858,7246,533.1396,709
"Jones County, Texas",3355,3565,536.7664,709
"Pickens County, South Carolina",31646,33442,625.623,709
"Lewis County, Washington",19740,23314,643.757,709
"Gaston County, North Carolina",79380,69117,656.4508,709
"Pulaski County, Illinois",1524,1430,683.6518,709
"York County, Virginia",11741,20835,718.1064,709
"Sac County, Iowa",2950,3162,444.283,710
"Marion County, Kentucky",3696,8020,500.4984,710
"Liberty County, Georgia",10078,18007,580.288,710
"Stephens County, Georgia",10207,8961,589.355,710
"Botetourt County, Virginia",4443,10101,594.7952,710
"Wexford County, Michigan",10793,12772,618.3694,710
"Jasper County, Indiana",7855,11779,649.1972,710
"Jefferson County, New York",37734,39827,694.5322,710
"Dawson County, Texas",4023,4411,524.0726,711
"Bailey County, Texas",2061,2471,529.5128,711
"Bourbon County, Kentucky",5394,6661,558.5272,711
"Bay County, Florida",48555,74495,587.5416,711
"Monroe County, Georgia",5652,7393,596.6086,711
"Calhoun County, West Virginia",1456,1218,598.422,711
"Jefferson County, Arkansas",32544,28212,656.4508,711
"Vigo County, Indiana",47906,47974,663.7044,711
"Penobscot County, Maine",62471,67355,669.1446,711
"LaPorte County, Indiana",42554,39437,685.4652,711
"Meade County, South Dakota",3705,6497,560.3406,712
"Iowa County, Iowa",7292,9232,611.1158,712
"Madison County, New York",17910,20237,631.0632,712
"Northumberland County, Pennsylvania",30454,26421,640.1302,712
"Loving County, Texas",25,30,516.819,713
"Trempealeau County, Wisconsin",9085,14138,525.886,713
"Franklin County, Iowa",3101,3846,536.7664,713
"Dickinson County, Iowa",5551,8656,538.5798,713
"Hardin County, Tennessee",6809,7741,553.087,713
"Jefferson County, Indiana",11951,12256,656.4508,713
"Kent County, Maryland",6387,7684,661.891,713
"Macon County, Georgia",3905,2798,687.2786,713
"Hettinger County, North Dakota",670,722,455.1634,714
"Harrison County, Mississippi",58408,81618,592.9818,714
"Florence County, South Carolina",52920,60752,632.8766,714
"Otsego County, Michigan",7083,9458,636.5034,714
"Somerset County, Maine",15915,16450,687.2786,714
"Lafayette County, Mississippi",11049,20468,565.7808,715
"Chelan County, Washington",25837,38671,591.1684,715
"Norton City, Virginia",3170,3701,616.556,715
"Fremont County, Colorado",8169,12774,620.1828,715
"Rapides Parish, Louisiana",42810,58150,636.5034,715
"Franklin County, Pennsylvania",46847,57677,638.3168,715
"Rankin County, Mississippi",28951,60298,645.5704,715
"Beaver County, Oklahoma",1377,1739,658.2642,715
"Yuma County, Colorado",2469,3931,511.3788,716
"Baraga County, Michigan",2200,2898,576.6612,716
"Kaufman County, Texas",12871,28125,578.4746,716
"Forrest County, Mississippi",30904,37962,603.8622,716
"Androscoggin County, Maine",41144,47745,620.1828,716
"Missoula County, Montana",32015,55423,625.623,716
"Yamhill County, Oregon",19958,33742,640.1302,716
"Flathead County, Montana",20650,38649,692.7188,716
"Ferry County, Washington",1668,1596,747.1208,716
"Adams County, North Dakota",991,928,478.7376,717
"Christian County, Kentucky",23191,31588,569.4076,717
"Wyandot County, Ohio",8289,8681,574.8478,717
"Washington County, Texas",10267,15463,589.355,717
"Taylor County, Texas",46330,60004,620.1828,717
"Wichita County, Texas",50248,53229,627.4364,717
"Indian River County, Florida",36239,49487,627.4364,717
"Boyle County, Kentucky",12011,13308,636.5034,717
"Genesee County, New York",21526,22253,676.3982,717
"Kershaw County, South Carolina",16446,17589,696.3456,717
"Wapello County, Iowa",13230,15977,699.9724,717
"Blaine County, Idaho",7506,11957,560.3406,718
"Martin County, Minnesota",8280,8350,578.4746,718
"Jefferson County, West Virginia",10057,14644,580.288,718
"Houghton County, Michigan",10083,11296,602.0488,718
"Muskingum County, Ohio",32132,31306,607.489,718
"Daviess County, Kentucky",33615,44415,640.1302,718
"Gratiot County, Michigan",11186,12803,641.9436,718
"Apache County, Arizona",13752,17895,703.5992,718
"Grant Parish, Louisiana",2764,3377,496.8716,719
"East Feliciana Parish, Louisiana",4219,4866,569.4076,719
"Grant County, Washington",17511,35269,587.5416,719
"Russell County, Virginia",6281,6994,634.69,719
"Decatur County, Indiana",8765,13449,645.5704,719
"Presidio County, Texas",1637,2257,420.7088,720
"Cherokee County, Georgia",15779,51333,560.3406,720
"Juneau County, Wisconsin",7116,8920,569.4076,720
"Monroe County, Florida",31241,40968,607.489,720
"Sumner County, Tennessee",26315,48400,629.2498,720
"Pulaski County, Virginia",13885,13953,636.5034,720
"Sandusky County, Ohio",24285,25767,698.159,720
"Grant County, Indiana",31401,27466,812.4032,720
"Twiggs County, Georgia",2003,1053,924.834,720
"Franklin County, North Carolina",7248,11113,534.953,721
"Monroe County, Wisconsin",13051,19315,567.5942,721
"Isanti County, Minnesota",6650,10718,594.7952,721
"Weber County, Utah",65326,97251,603.8622,721
"Schuylkill County, Pennsylvania",48852,49313,611.1158,721
"Williamson County, Illinois",16488,26457,631.0632,721
"Pope County, Arkansas",17864,27052,636.5034,721
"Wayne County, Georgia",7524,8016,641.9436,721
"Bradley County, Tennessee",30239,40901,652.824,721
"Manistee County, Michigan",5819,6486,676.3982,721
"Pierce County, North Dakota",1471,1704,467.8572,722
"Gilpin County, Colorado",262,4937,515.0056,722
"Hill County, Texas",5756,9331,529.5128,722
"Faulkner County, Arkansas",20246,40518,563.9674,722
"Deaf Smith County, Texas",5928,7451,569.4076,722
"Pottawattamie County, Iowa",27173,39335,582.1014,722
"Laurens County, South Carolina",20231,20846,605.6756,722
"Clinton County, Iowa",19037,21757,627.4364,722
"Newaygo County, Michigan",7305,11371,654.6374,722
"Lincoln County, West Virginia",2445,2631,556.7138,723
"Jefferson County, Washington",5277,7856,594.7952,723
"Guernsey County, Ohio",12509,15220,627.4364,723
"Edwards County, Illinois",2633,2311,649.1972,723
"New Madrid County, Missouri",7351,7361,670.958,723
"Whitley County, Indiana",10447,11873,674.5848,723
"Raleigh County, West Virginia",22800,32531,687.2786,723
"Brunswick County, North Carolina",13316,28745,756.1878,723
"King and Queen County, Virginia",696,898,511.3788,724
"Burnet County, Texas",5225,13059,554.9004,724
"Albany County, Wyoming",11499,15223,589.355,724
"Noble County, Ohio",2314,3152,612.9292,724
"Ouachita Parish, Louisiana",54761,70432,660.0776,724
"Mason County, Washington",8960,13374,685.4652,724
"Delaware County, Indiana",48771,44088,712.6662,724
"Manatee County, Florida",75432,116335,611.1158,725
"Butte County, California",58978,76218,616.556,725
"Henry County, Iowa",8567,9129,621.9962,725
"Schoolcraft County, Michigan",2040,2589,634.69,725
"Tehama County, California",11957,16364,638.3168,725
"Jefferson County, Wisconsin",28503,31867,647.3838,725
"Sullivan County, New York",23061,24131,680.025,725
"Marion County, Ohio",24774,23657,730.8002,725
"Jackson County, Wisconsin",4471,8355,498.685,726
"Susquehanna County, Pennsylvania",7832,9141,545.8334,726
"Ellis County, Oklahoma",1200,1325,554.9004,726
"Wright County, Minnesota",16592,39307,592.9818,726
"Petersburg City, Virginia",16536,12946,594.7952,726
"Brown County, Minnesota",11362,13302,603.8622,726
"Floyd County, Indiana",19921,28462,627.4364,726
"Dorchester County, Maryland",11700,10551,636.5034,726
"Belknap County, New Hampshire",19948,24242,652.824,726
"Camden County, North Carolina",886,1387,489.618,727
"Pike County, Alabama",10435,13548,540.3932,727
"Clay County, Iowa",7457,8599,562.154,727
"Ohio County, West Virginia",25015,28640,596.6086,727
"Franklin County, New York",15215,17577,611.1158,727
"Blair County, Pennsylvania",49913,57203,612.9292,727
"Buncombe County, North Carolina",83620,120557,651.0106,727
"Morgan County, Utah",969,1978,651.0106,727
"Taylor County, Florida",6494,6733,681.8384,727
"Wood County, West Virginia",37738,37507,736.2404,727
"Gonzales County, Texas",5024,7057,485.9912,728
"Brown County, South Dakota",15642,20433,547.6468,728
"Phelps County, Nebraska",4122,4704,558.5272,728
"Columbia County, Pennsylvania",23892,24468,589.355,728
"Logan County, Kentucky",7986,8161,600.2354,728
"Adams County, Illinois",26798,32286,605.6756,728
"Pulaski County, Indiana",4072,4423,645.5704,728
"Lexington City, Virginia",3611,4778,649.1972,728
"Thurston County, Nebraska",1991,2859,524.0726,729
"Powell County, Montana",1991,2247,567.5942,729
"Carroll County, Georgia",27314,38695,616.556,729
"Cameron County, Pennsylvania",2329,1973,643.757,729
"Culpeper County, Virginia",9569,15272,656.4508,729
"McMinn County, Tennessee",16355,17253,681.8384,729
"Wicomico County, Maryland",33714,44042,694.5322,729
"DeKalb County, Illinois",27266,35931,716.293,729
"Meade County, Kansas",1321,1600,489.618,730
"Garza County, Texas",1312,1852,513.1922,730
"Marshall County, Minnesota",2106,2115,531.3262,730
"Edgar County, Illinois",4504,6489,556.7138,730
"Gallatin County, Montana",18839,49670,565.7808,730
"Winona County, Minnesota",19896,24653,602.0488,730
"Washington County, Tennessee",42351,59125,603.8622,730
"Rutland County, Vermont",28118,27774,660.0776,730
"Crowley County, Colorado",759,1061,665.5178,730
"Kennebec County, Maine",56396,57667,689.092,730
"Marinette County, Wisconsin",15429,18520,692.7188,730
"Coles County, Illinois",21081,23201,739.8672,730
"Broadwater County, Montana",674,1292,527.6994,731
"Kerr County, Texas",11480,17204,565.7808,731
"Rockwall County, Texas",5254,25150,578.4746,731
"Wilson County, Tennessee",16800,36636,603.8622,731
"Madera County, California",24268,44977,625.623,731
"Columbia County, New York",17505,20662,643.757,731
"Lowndes County, Mississippi",27593,24382,658.2642,731
"Randolph County, Illinois",12193,12082,669.1446,731
"Delaware County, Iowa",4471,6438,573.0344,732
"Loudon County, Tennessee",8485,13949,594.7952,732
"Platte County, Nebraska",13990,18409,627.4364,732
"Champaign County, Ohio",9888,10295,667.3312,732
"Lebanon County, Pennsylvania",39827,47760,685.4652,732
"Jackson Parish, Louisiana",3716,3756,703.5992,732
"Power County, Idaho",3288,3071,705.4126,732
"Brewster County, Texas",2803,3616,489.618,733
"Torrance County, New Mexico",1800,3243,498.685,733
"Fayette County, Texas",6551,9531,544.02,733
"Dunn County, Wisconsin",9481,16151,587.5416,733
"Sherman County, Texas",832,1088,589.355,733
"Dinwiddie County, Virginia",5454,7910,612.9292,733
"Merced County, California",51176,71777,620.1828,733
"Tipton County, Indiana",3901,4200,625.623,733
"Miami County, Ohio",36062,39425,685.4652,733
"Des Moines County, Iowa",20474,22213,698.159,733
"Linn County, Oregon",32619,42435,707.226,733
"Gilmer County, West Virginia",1596,2164,562.154,734
"Brazos County, Texas",54968,96908,580.288,734
"Allendale County, South Carolina",3516,2667,600.2354,734
"Sullivan County, New Hampshire",13713,13672,627.4364,734
"Polk County, Florida",163159,202933,649.1972,734
"Cabarrus County, North Carolina",40657,67221,652.824,734
"Orleans County, New York",10887,12462,661.891,734
"Barry County, Michigan",8117,11484,687.2786,734
"Cavalier County, North Dakota",1391,1382,464.2304,735
"Walla Walla County, Washington",19136,25494,618.3694,735
"Sullivan County, Indiana",4488,6207,631.0632,735
"Gordon County, Georgia",16865,21146,638.3168,735
"Cattaraugus County, New York",30700,29590,641.9436,735
"Waldo County, Maine",6459,10540,515.0056,736
"Wheeler County, Texas",1672,2490,525.886,736
"Nicollet County, Minnesota",10184,14141,565.7808,736
"Belmont County, Ohio",20347,23081,578.4746,736
"Franklin County, Massachusetts",24037,25293,674.5848,736
"Carlton County, Minnesota",9305,13297,692.7188,736
"Cape May County, New Jersey",27873,31593,710.8528,736
"Grundy County, Iowa",2863,3692,545.8334,737
"Sheridan County, Wyoming",8464,12988,565.7808,737
"Weston County, Wyoming",2092,2284,618.3694,737
"Saline County, Nebraska",5025,6891,636.5034,737
"Greene County, New York",12332,14467,640.1302,737
"Roanoke County, Virginia",25561,37293,705.4126,737
"Las Animas County, Colorado",3371,4791,504.1252,738
"Yankton County, South Dakota",9411,12329,531.3262,738
"Potter County, Pennsylvania",4418,5176,560.3406,738
"Dubois County, Indiana",21836,27581,625.623,738
"Mineral County, West Virginia",6171,7747,638.3168,738
"Bennington County, Vermont",15660,16603,641.9436,738
"Marengo County, Alabama",6802,6839,569.4076,739
"Richland County, North Dakota",6068,7563,582.1014,739
"Cheyenne County, Colorado",660,729,603.8622,739
"Houston County, Alabama",40310,46175,618.3694,739
"Sutter County, California",17225,26983,627.4364,739
"Angelina County, Texas",28557,36551,649.1972,739
"Madison County, Tennessee",37696,55302,663.7044,739
"Henderson County, Kentucky",16903,19533,709.0394,739
"McDowell County, West Virginia",6140,4921,728.9868,739
"Camp County, Texas",3157,4000,464.2304,740
"Pottawatomie County, Kansas",5468,9351,554.9004,740
"Montgomery County, Illinois",8575,8346,587.5416,740
"Logan County, Illinois",10688,8904,612.9292,740
"Lee County, North Carolina",19744,24779,623.8096,740
"Pueblo County, Colorado",41321,57437,625.623,740
"Clark County, Kentucky",9655,13750,656.4508,740
"Lawrence County, Pennsylvania",30200,28262,658.2642,740
"Mercer County, Pennsylvania",42065,47096,680.025,740
"Summit County, Utah",9654,28143,466.0438,741
"Nevada County, Arkansas",2416,2394,520.4458,741
"Livingston County, Kentucky",1445,2696,533.1396,741
"Texas County, Oklahoma",4643,9851,562.154,741
"Crawford County, Michigan",3195,3620,567.5942,741
"Blanco County, Texas",1677,2922,641.9436,741
"St. Thomas, Virgin Islands",24003,21556,663.7044,741
"Kings County, California",27639,43859,756.1878,741
"Oldham County, Kentucky",7980,14547,573.0344,742
"Fayette County, Tennessee",4963,7613,574.8478,742
"Cumberland County, North Carolina",84660,116132,632.8766,742
"Nash County, North Carolina",40517,40144,641.9436,742
"Newton County, Georgia",11389,22232,647.3838,742
"Iowa County, Wisconsin",7377,9783,485.9912,743
"Stevens County, Minnesota",3418,5095,580.288,743
"Hardin County, Kentucky",31135,45880,594.7952,743
"Peach County, Georgia",7050,8670,654.6374,743
"Kankakee County, Illinois",34092,42105,672.7714,743
"Bee County, Texas",6917,9343,574.8478,744
"Sioux County, North Dakota",815,1652,582.1014,744
"Boone County, Indiana",10745,25301,607.489,744
"Talbot County, Maryland",14651,18039,634.69,744
"Jackson County, Oregon",52325,79993,640.1302,744
"Sheridan County, Montana",1227,1515,480.551,745
"Pennington County, Minnesota",5341,10311,547.6468,745
"Charlevoix County, Michigan",7150,9645,651.0106,745
"Woodford County, Kentucky",8354,8927,698.159,745
"Montague County, Texas",4180,5500,476.9242,746
"Hidalgo County, New Mexico",2125,1507,607.489,746
"Woodbury County, Iowa",45214,51518,625.623,746
"Caroline County, Maryland",7101,8895,670.958,746
"Harrison County, Ohio",3264,3719,672.7714,746
"Pinal County, Arizona",34378,58039,680.025,746
"Plumas County, California",5687,5341,680.025,746
"Cole County, Missouri",38464,50916,681.8384,746
"Nez Perce County, Idaho",15918,20318,683.6518,746
"Augusta County, Virginia",19800,25561,689.092,746
"Putnam County, Illinois",2307,1700,845.0444,746
"Grant County, South Dakota",2926,4076,540.3932,747
"Lipscomb County, Texas",774,1322,582.1014,747
"Deschutes County, Oregon",30257,68896,611.1158,747
"Blue Earth County, Minnesota",24214,37969,611.1158,747
"Lexington County, South Carolina",56019,110738,649.1972,747
"Cabell County, West Virginia",45234,51173,681.8384,747
"Jackson County, Illinois",22051,24551,685.4652,747
"Coconino County, Arizona",38107,58575,576.6612,748
"Glynn County, Georgia",29646,35333,621.9962,748
"Bristol City, Virginia",12873,9793,621.9962,748
"Bland County, Virginia",1693,1875,623.8096,748
"Union County, North Carolina",34944,58335,632.8766,748
"Dougherty County, Georgia",46808,46338,694.5322,748
"Elk County, Pennsylvania",14134,14739,701.7858,748
"Shasta County, California",50002,61419,718.1064,748
"Giles County, Virginia",5396,4488,745.3074,748
"Custer County, Idaho",1387,1133,781.5754,748
"Dodge County, Minnesota",3333,5666,567.5942,749
"Armstrong County, Pennsylvania",17939,17109,667.3312,749
"Floyd County, Georgia",35057,37793,696.3456,749
"Washington County, Maryland",50758,65988,710.8528,749
